nbr_can_id,var_can_nombre,var_can_status,nbr_pro_id
386,Distrito Metropolitano de Quito,En vigencia,386
387,Cayambe,En vigencia,387
388,Distrito Metropolitano de Quito,En vigencia,388
389,Distrito Metropolitano de Quito,En vigencia,389
390,Cayambe,En vigencia,390
391,Distrito Metropolitano de Quito,En vigencia,391
392,Distrito Metropolitano de Quito,En vigencia,392
393,Mejia,En vigencia,393
394,Distrito Metropolitano de Quito,En vigencia,394
395,Mejia,En vigencia,395
396,San Miguel de los Bancos,En vigencia,396
397,Distrito Metropolitano de Quito,En vigencia,397
398,Distrito Metropolitano de Quito,En vigencia,398
399,Pedro Vicente Maldonado,En vigencia,399
400,Distrito Metropolitano de Quito,En vigencia,400
401,Distrito Metropolitano de Quito,En vigencia,401
402,Pedro Vicente Maldonado,En vigencia,402
403,Pedro Moncayo,En vigencia,403
404,Pedro Moncayo,En vigencia,404
405,Pedro Moncayo,En vigencia,405
406,Distrito Metropolitano de Quito,En vigencia,406
407,Distrito Metropolitano de Quito,En vigencia,407
408,Pedro Moncayo,En vigencia,408
409,Distrito Metropolitano de Quito,En vigencia,409
410,Cayambe,En vigencia,410
411,Rumiñahui,No existe,411
412,Distrito Metropolitano de Quito,En vigencia,412
413,Distrito Metropolitano de Quito,No existe,413
414,Distrito Metropolitano de Quito,En vigencia,414
415,Distrito Metropolitano de Quito,En vigencia,415
416,Cayambe,En vigencia,416
417,Distrito Metropolitano de Quito,En vigencia,417
418,Distrito Metropolitano de Quito,En vigencia,418
419,Distrito Metropolitano de Quito,En vigencia,419
420,Distrito Metropolitano de Quito,En vigencia,420
421,Distrito Metropolitano de Quito,En vigencia,421
422,Rumiñahui,En vigencia,422
423,Pedro Moncayo,En vigencia,423
424,Distrito Metropolitano de Quito,En vigencia,424
425,Puerto Quito,En vigencia,425
426,Cayambe,En vigencia,426
427,Distrito Metropolitano de Quito,En vigencia,427
428,Distrito Metropolitano de Quito,En vigencia,428
429,Distrito Metropolitano de Quito,En vigencia,429
430,Distrito Metropolitano de Quito,En vigencia,430
431,Distrito Metropolitano de Quito,En vigencia,431
432,Distrito Metropolitano de Quito,En vigencia,432
433,Pedro Vicente Maldonado,En vigencia,433
434,Distrito Metropolitano de Quito,En vigencia,434
435,Cayambe,En vigencia,435
436,Pedro Vicente Maldonado,En vigencia,436
437,Distrito Metropolitano de Quito,En vigencia,437
438,Distrito Metropolitano de Quito,En vigencia,438
439,Distrito Metropolitano de Quito,En vigencia,439
440,Distrito Metropolitano de Quito,En vigencia,440
441,Distrito Metropolitano de Quito,En vigencia,441
442,Distrito Metropolitano de Quito,En vigencia,442
443,Mejia,En vigencia,443
444,Distrito Metropolitano de Quito,En vigencia,444
445,Cayambe,En vigencia,445
446,Rumiñahui,En vigencia,446
447,Distrito Metropolitano de Quito,En vigencia,447
448,Pedro Vicente Maldonado,En vigencia,448
449,Distrito Metropolitano de Quito,En vigencia,449
450,Distrito Metropolitano de Quito,En vigencia,450
451,Distrito Metropolitano de Quito,En vigencia,451
452,Rumiñahui,En vigencia,452
453,Distrito Metropolitano de Quito,En vigencia,453
454,Pedro Vicente Maldonado,En vigencia,454
455,Distrito Metropolitano de Quito,En vigencia,455
456,Distrito Metropolitano de Quito,En vigencia,456
457,Rumiñahui,En vigencia,457
458,Distrito Metropolitano de Quito,En vigencia,458
459,Distrito Metropolitano de Quito,En vigencia,459
460,Distrito Metropolitano de Quito,En vigencia,460
461,Pedro Vicente Maldonado,En vigencia,461
462,Puerto Quito,En vigencia,462
463,Cayambe,En vigencia,463
464,Pedro Vicente Maldonado,En vigencia,464
465,Distrito Metropolitano de Quito,En vigencia,465
466,Rumiñahui,En vigencia,466
467,Puerto Quito,En vigencia,467
468,Pedro Vicente Maldonado,En vigencia,468
469,Cayambe,En vigencia,469
470,Distrito Metropolitano de Quito,En vigencia,470
471,Distrito Metropolitano de Quito,En vigencia,471
472,Pedro Vicente Maldonado,En vigencia,472
473,Distrito Metropolitano de Quito,En vigencia,473
474,Distrito Metropolitano de Quito,En vigencia,474
475,Cayambe,En vigencia,475
476,Distrito Metropolitano de Quito,En vigencia,476
477,Mejia,En vigencia,477
478,Rumiñahui,En vigencia,478
479,Distrito Metropolitano de Quito,En vigencia,479
480,Distrito Metropolitano de Quito,En vigencia,480
481,Distrito Metropolitano de Quito,En vigencia,481
482,Distrito Metropolitano de Quito,En vigencia,482
483,Distrito Metropolitano de Quito,En vigencia,483
484,Distrito Metropolitano de Quito,En vigencia,484
485,Pedro Vicente Maldonado,En vigencia,485
486,Distrito Metropolitano de Quito,En vigencia,486
487,Distrito Metropolitano de Quito,En vigencia,487
488,Pedro Moncayo,En vigencia,488
489,Distrito Metropolitano de Quito,En vigencia,489
490,Distrito Metropolitano de Quito,En vigencia,490
491,Pedro Vicente Maldonado,En vigencia,491
492,Distrito Metropolitano de Quito,En vigencia,492
493,Distrito Metropolitano de Quito,En vigencia,493
494,Distrito Metropolitano de Quito,En vigencia,494
495,Distrito Metropolitano de Quito,En vigencia,495
496,Cayambe,En vigencia,496
497,Distrito Metropolitano de Quito,En vigencia,497
498,Pedro Moncayo,En vigencia,498
499,Distrito Metropolitano de Quito,En vigencia,499
500,Distrito Metropolitano de Quito,En vigencia,500
501,Pedro Moncayo,En vigencia,501
502,Distrito Metropolitano de Quito,En vigencia,502
503,Distrito Metropolitano de Quito,En vigencia,503
504,Puerto Quito,En vigencia,504
505,Pedro Moncayo,En vigencia,505
506,Mejia,En vigencia,506
507,Distrito Metropolitano de Quito,En vigencia,507
508,Distrito Metropolitano de Quito,En vigencia,508
509,Puerto Quito,En vigencia,509
510,Distrito Metropolitano de Quito,En vigencia,510
511,Distrito Metropolitano de Quito,En vigencia,511
512,Mejia,En vigencia,512
513,Distrito Metropolitano de Quito,En vigencia,513
514,Distrito Metropolitano de Quito,En vigencia,514
515,Pedro Vicente Maldonado,En vigencia,515
516,Distrito Metropolitano de Quito,En vigencia,516
517,Distrito Metropolitano de Quito,No existe,517
518,Distrito Metropolitano de Quito,En vigencia,518
519,Mejia,En vigencia,519
520,Distrito Metropolitano de Quito,En vigencia,520
521,Distrito Metropolitano de Quito,En vigencia,521
522,Distrito Metropolitano de Quito,En vigencia,522
523,Distrito Metropolitano de Quito,En vigencia,523
524,Distrito Metropolitano de Quito,En vigencia,524
525,Distrito Metropolitano de Quito,En vigencia,525
526,Distrito Metropolitano de Quito,En vigencia,526
527,Distrito Metropolitano de Quito,En vigencia,527
528,Distrito Metropolitano de Quito,En vigencia,528
529,Distrito Metropolitano de Quito,En vigencia,529
530,Distrito Metropolitano de Quito,En vigencia,530
531,Puerto Quito,En vigencia,531
532,Rumiñahui,En vigencia,532
533,Pedro Vicente Maldonado,En vigencia,533
534,Puerto Quito,No existe,534
535,Distrito Metropolitano de Quito,En vigencia,535
536,Puerto Quito,En vigencia,536
537,Distrito Metropolitano de Quito,En vigencia,537
538,Distrito Metropolitano de Quito,En vigencia,538
539,Distrito Metropolitano de Quito,En vigencia,539
540,Distrito Metropolitano de Quito,En vigencia,540
541,Distrito Metropolitano de Quito,En vigencia,541
542,Rumiñahui,En vigencia,542
543,Distrito Metropolitano de Quito,En vigencia,543
544,Distrito Metropolitano de Quito,No existe,544
545,Distrito Metropolitano de Quito,En vigencia,545
546,Rumiñahui,En vigencia,546
547,Pedro Vicente Maldonado,En vigencia,547
548,Distrito Metropolitano de Quito,No existe,548
549,Pedro Vicente Maldonado,En vigencia,549
550,Distrito Metropolitano de Quito,En vigencia,550
551,Distrito Metropolitano de Quito,En vigencia,551
552,Pedro Vicente Maldonado,En vigencia,552
553,Distrito Metropolitano de Quito,En vigencia,553
554,Distrito Metropolitano de Quito,En vigencia,554
555,Distrito Metropolitano de Quito,En vigencia,555
556,Rumiñahui,En vigencia,556
557,Rumiñahui,En vigencia,557
558,Rumiñahui,En vigencia,558
559,Distrito Metropolitano de Quito,En vigencia,559
560,Pedro Vicente Maldonado,En vigencia,560
561,San Miguel de los Bancos,En vigencia,561
562,Distrito Metropolitano de Quito,En vigencia,562
563,Distrito Metropolitano de Quito,En vigencia,563
564,Mejia,En vigencia,564
565,Pedro Moncayo,En vigencia,565
566,Mejia,En vigencia,566
567,Distrito Metropolitano de Quito,En vigencia,567
568,Distrito Metropolitano de Quito,En vigencia,568
569,Distrito Metropolitano de Quito,En vigencia,569
570,Distrito Metropolitano de Quito,No existe,570
571,San Miguel de los Bancos,En vigencia,571
572,Distrito Metropolitano de Quito,En vigencia,572
573,Distrito Metropolitano de Quito,En vigencia,573
574,Mejia,En vigencia,574
575,Distrito Metropolitano de Quito,En vigencia,575
576,Distrito Metropolitano de Quito,En vigencia,576
577,Distrito Metropolitano de Quito,En vigencia,577
578,Cayambe,En vigencia,578
579,Distrito Metropolitano de Quito,En vigencia,579
580,Distrito Metropolitano de Quito,En vigencia,580
581,Distrito Metropolitano de Quito,En vigencia,581
582,Distrito Metropolitano de Quito,En vigencia,582
583,Distrito Metropolitano de Quito,En vigencia,583
584,Rumiñahui,En vigencia,584
585,Pedro Vicente Maldonado,En vigencia,585
586,Pedro Moncayo,En vigencia,586
587,Distrito Metropolitano de Quito,En vigencia,587
588,Distrito Metropolitano de Quito,No existe,588
589,Distrito Metropolitano de Quito,No existe,589
590,Distrito Metropolitano de Quito,En vigencia,590
591,Mejia,En vigencia,591
592,Distrito Metropolitano de Quito,En vigencia,592
593,Distrito Metropolitano de Quito,No existe,593
594,Cayambe,En vigencia,594
595,Pedro Moncayo,En vigencia,595
596,Distrito Metropolitano de Quito,En vigencia,596
597,Distrito Metropolitano de Quito,En vigencia,597
598,Cayambe,En vigencia,598
599,Rumiñahui,En vigencia,599
600,Distrito Metropolitano de Quito,En vigencia,600
601,Distrito Metropolitano de Quito,En vigencia,601
602,Distrito Metropolitano de Quito,En vigencia,602
603,Pedro Vicente Maldonado,En vigencia,603
604,Distrito Metropolitano de Quito,En vigencia,604
605,Distrito Metropolitano de Quito,En vigencia,605
606,Distrito Metropolitano de Quito,No existe,606
607,Distrito Metropolitano de Quito,En vigencia,607
608,Pedro Vicente Maldonado,En vigencia,608
609,Distrito Metropolitano de Quito,En vigencia,609
610,San Miguel de los Bancos,En vigencia,610
611,Distrito Metropolitano de Quito,En vigencia,611
612,Distrito Metropolitano de Quito,En vigencia,612
613,Puerto Quito,En vigencia,613
614,Cayambe,En vigencia,614
615,Distrito Metropolitano de Quito,En vigencia,615
