nbr_parro_id,var_parro_nombre,var_parro_status,nbr_can_id
164,La Libertad,En vigencia,164
165,La Libertad,En vigencia,165
166,Centro Histórico,En vigencia,166
167,Cochapamba,En vigencia,167
168,Centro Histórico,En vigencia,168
169,La Libertad,En vigencia,169
170,Comité Pueblo,En vigencia,170
171,Chillogallo,En vigencia,171
172,La Libertad,En vigencia,172
173,Centro Histórico,En vigencia,173
174,La Libertad,En vigencia,174
175,La Libertad,En vigencia,175
176,La Libertad,En vigencia,176
177,La Libertad,En vigencia,177
178,Centro Histórico,No existe,178
179,La Mena,En vigencia,179
180,La Libertad,En vigencia,180
181,Centro Histórico,En vigencia,181
182,La Libertad,En vigencia,182
183,La Mena,En vigencia,183
184,Centro Histórico,En vigencia,184
185,Centro Histórico,En vigencia,185
186,Centro Histórico,En vigencia,186
187,La Libertad,En vigencia,187
188,Centro Histórico,En vigencia,188
189,La Libertad,En vigencia,189
190,La Libertad,En vigencia,190
191,Centro Histórico,En vigencia,191
192,La Libertad,En vigencia,192
193,Centro Histórico,No existe,193
194,La Libertad,En vigencia,194
195,Centro Histórico,En vigencia,195
196,Guamaní,En vigencia,196
197,La Libertad,En vigencia,197
198,La Libertad,En vigencia,198
199,La Libertad,En vigencia,199
200,Centro Histórico,En vigencia,200
201,Centro Histórico,En vigencia,201
202,La Ferroviaria,En vigencia,202
203,Puengasí,En vigencia,203
204,La Libertad,En vigencia,204
205,La Mena,En vigencia,205
206,Mariscal Sucre,En vigencia,206
207,Cochapamba,En vigencia,207
208,La Libertad,En vigencia,208
209,Comité Pueblo,En vigencia,209
210,La Libertad,En vigencia,210
211,Chilibulo,En vigencia,211
212,La Libertad,En vigencia,212
213,La Libertad,En vigencia,213
214,Centro Histórico,En vigencia,214
215,La Libertad,En vigencia,215
216,Itchimbía,En vigencia,216
217,Centro Histórico,En vigencia,217
218,Carcelén,En vigencia,218
219,Guamaní,En vigencia,219
220,Centro Histórico,En vigencia,220
221,El Inca,En vigencia,221
222,Centro Histórico,En vigencia,222
223,Centro Histórico,No existe,223
224,Centro Histórico,En vigencia,224
225,Solanda,En vigencia,225
226,Centro Histórico,En vigencia,226
227,Centro Histórico,En vigencia,227
228,Centro Histórico,En vigencia,228
229,Centro Histórico,En vigencia,229
230,La Mena,En vigencia,230
231,La Libertad,En vigencia,231
232,Centro Histórico,En vigencia,232
233,Chilibulo,En vigencia,233
234,Centro Histórico,En vigencia,234
235,Chillogallo,En vigencia,235
236,El Inca,En vigencia,236
237,Centro Histórico,En vigencia,237
238,Centro Histórico,En vigencia,238
239,San Juan,No existe,239
240,La Libertad,En vigencia,240
241,Centro Histórico,En vigencia,241
242,Itchimbía,En vigencia,242
243,Puengasí,En vigencia,243
244,Centro Histórico,En vigencia,244
245,Centro Histórico,En vigencia,245
246,Centro Histórico,En vigencia,246
247,Centro Histórico,En vigencia,247
248,Centro Histórico,En vigencia,248
249,La Argelia,En vigencia,249
250,Quitumbe,En vigencia,250
251,Solanda,En vigencia,251
252,Centro Histórico,En vigencia,252
253,Belisario Quevedo,En vigencia,253
254,La Libertad,En vigencia,254
255,La Libertad,En vigencia,255
256,La Libertad,En vigencia,256
257,La Libertad,En vigencia,257
258,Centro Histórico,En vigencia,258
259,Centro Histórico,En vigencia,259
260,La Libertad,En vigencia,260
261,Centro Histórico,En vigencia,261
262,Centro Histórico,En vigencia,262
263,Centro Histórico,En vigencia,263
264,Centro Histórico,En vigencia,264
265,La Libertad,En vigencia,265
266,La Libertad,En vigencia,266
267,Centro Histórico,En vigencia,267
268,Centro Histórico,En vigencia,268
269,Centro Histórico,En vigencia,269
270,La Libertad,En vigencia,270
271,Comité Pueblo,En vigencia,271
272,Chilibulo,En vigencia,272
273,Centro Histórico,En vigencia,273
274,Chilibulo,En vigencia,274
275,Centro Histórico,En vigencia,275
276,Kennedy,En vigencia,276
277,La Libertad,En vigencia,277
278,Centro Histórico,En vigencia,278
279,La Libertad,En vigencia,279
280,La Libertad,En vigencia,280
281,Centro Histórico,En vigencia,281
282,La Libertad,En vigencia,282
283,La Libertad,En vigencia,283
284,Cochapamba,En vigencia,284
285,Centro Histórico,En vigencia,285
286,La Libertad,En vigencia,286
287,Centro Histórico,En vigencia,287
288,Turubamba,En vigencia,288
289,El Condado,En vigencia,289
290,La Libertad,En vigencia,290
291,Centro Histórico,En vigencia,291
292,La Libertad,En vigencia,292
293,Iñaquito,En vigencia,293
294,La Libertad,En vigencia,294
295,Ponceano,En vigencia,295
296,Magdalena,En vigencia,296
297,San Bartolo,En vigencia,297
298,Centro Histórico,En vigencia,298
299,La Libertad,En vigencia,299
300,La Libertad,En vigencia,300
301,Centro Histórico,No existe,301
302,Mariscal Sucre,En vigencia,302
303,Ponceano,En vigencia,303
304,Centro Histórico,En vigencia,304
305,Centro Histórico,En vigencia,305
306,La Libertad,En vigencia,306
307,Centro Histórico,No existe,307
308,La Libertad,En vigencia,308
309,Centro Histórico,En vigencia,309
310,La Libertad,En vigencia,310
311,Centro Histórico,En vigencia,311
312,El Inca,En vigencia,312
313,Chillogallo,En vigencia,313
314,La Libertad,En vigencia,314
315,Quitumbe,En vigencia,315
316,Puengasí,En vigencia,316
317,Centro Histórico,En vigencia,317
318,La Libertad,En vigencia,318
319,La Libertad,En vigencia,319
320,La Libertad,En vigencia,320
321,Centro Histórico,En vigencia,321
322,Chimbacalle,En vigencia,322
323,La Libertad,En vigencia,323
324,La Libertad,En vigencia,324
325,Centro Histórico,En vigencia,325
326,Centro Histórico,En vigencia,326
327,Itchimbía,En vigencia,327
328,La Libertad,No existe,328
329,Centro Histórico,En vigencia,329
330,Cochapamba,En vigencia,330
331,La Libertad,En vigencia,331
332,Centro Histórico,En vigencia,332
333,Centro Histórico,En vigencia,333
334,Ponceano,En vigencia,334
335,Centro Histórico,En vigencia,335
336,Centro Histórico,En vigencia,336
337,Centro Histórico,En vigencia,337
338,Centro Histórico,En vigencia,338
339,La Libertad,En vigencia,339
340,Rumipamba,En vigencia,340
341,Centro Histórico,En vigencia,341
342,Centro Histórico,En vigencia,342
343,Centro Histórico,En vigencia,343
344,Puengasí,En vigencia,344
345,La Libertad,En vigencia,345
346,La Libertad,No existe,346
347,La Libertad,En vigencia,347
348,Centro Histórico,En vigencia,348
349,Centro Histórico,En vigencia,349
350,Centro Histórico,En vigencia,350
351,Centro Histórico,En vigencia,351
352,Turubamba,En vigencia,352
353,El Condado,En vigencia,353
354,Solanda,En vigencia,354
355,Cochapamba,En vigencia,355
356,La Libertad,En vigencia,356
357,Centro Histórico,En vigencia,357
358,Centro Histórico,En vigencia,358
359,Comité Pueblo,En vigencia,359
360,Centro Histórico,En vigencia,360
361,La Libertad,En vigencia,361
362,El Condado,En vigencia,362
363,Centro Histórico,En vigencia,363
364,El Condado,En vigencia,364
365,El Inca,En vigencia,365
366,Centro Histórico,En vigencia,366
367,La Libertad,En vigencia,367
368,Belisario Quevedo,En vigencia,368
369,La Libertad,En vigencia,369
370,La Libertad,En vigencia,370
371,Kennedy,En vigencia,371
372,La Libertad,En vigencia,372
373,La Libertad,En vigencia,373
374,La Libertad,En vigencia,374
375,Rumipamba,En vigencia,375
376,La Libertad,En vigencia,376
377,San Bartolo,En vigencia,377
378,Centro Histórico,En vigencia,378
379,Centro Histórico,En vigencia,379
380,Centro Histórico,En vigencia,380
381,Itchimbía,En vigencia,381
382,Cochapamba,En vigencia,382
383,La Libertad,En vigencia,383
384,Magdalena,En vigencia,384
385,Cochapamba,En vigencia,385
386,El Condado,En vigencia,386
387,Centro Histórico,En vigencia,387
388,Centro Histórico,En vigencia,388
389,Centro Histórico,En vigencia,389
390,La Libertad,En vigencia,390
391,San Bartolo,En vigencia,391
392,Ponceano,En vigencia,392
393,Centro Histórico,En vigencia,393
394,La Libertad,En vigencia,394
395,Solanda,En vigencia,395
396,La Ferroviaria,En vigencia,396
397,Centro Histórico,En vigencia,397
398,Centro Histórico,En vigencia,398
399,Centro Histórico,En vigencia,399
400,Rumipamba,En vigencia,400
401,Centro Histórico,En vigencia,401
402,Centro Histórico,En vigencia,402
403,Centro Histórico,En vigencia,403
404,La Libertad,En vigencia,404
405,Centro Histórico,En vigencia,405
406,Chilibulo,En vigencia,406
407,La Libertad,En vigencia,407
408,La Libertad,En vigencia,408
409,Chimbacalle,En vigencia,409
410,La Mena,En vigencia,410
411,Centro Histórico,En vigencia,411
412,Turubamba,En vigencia,412
413,Iñaquito,En vigencia,413
414,La Libertad,En vigencia,414
415,Turubamba,En vigencia,415
416,Itchimbía,En vigencia,416
417,Centro Histórico,En vigencia,417
418,Centro Histórico,En vigencia,418
419,Centro Histórico,En vigencia,419
420,La Libertad,En vigencia,420
421,La Libertad,En vigencia,421
422,La Libertad,En vigencia,422
423,La Libertad,En vigencia,423
424,Ponceano,En vigencia,424
425,La Libertad,En vigencia,425
426,La Libertad,En vigencia,426
427,Centro Histórico,En vigencia,427
428,La Ecuatoriana,En vigencia,428
429,La Libertad,En vigencia,429
430,Centro Histórico,En vigencia,430
431,La Libertad,En vigencia,431
432,La Libertad,En vigencia,432
433,La Libertad,En vigencia,433
434,La Libertad,En vigencia,434
435,La Libertad,En vigencia,435
436,Centro Histórico,En vigencia,436
437,La Libertad,En vigencia,437
438,La Libertad,En vigencia,438
439,Chilibulo,En vigencia,439
440,La Libertad,En vigencia,440
441,La Libertad,En vigencia,441
442,Centro Histórico,En vigencia,442
443,La Libertad,En vigencia,443
444,Centro Histórico,En vigencia,444
445,Comité Pueblo,En vigencia,445
446,Centro Histórico,En vigencia,446
447,Centro Histórico,En vigencia,447
448,Quitumbe,En vigencia,448
449,Belisario Quevedo,En vigencia,449
450,Centro Histórico,En vigencia,450
451,La Argelia,No existe,451
452,Centro Histórico,En vigencia,452
453,Centro Histórico,En vigencia,453
454,Magdalena,En vigencia,454
455,La Libertad,En vigencia,455
456,La Mena,En vigencia,456
457,Centro Histórico,En vigencia,457
458,Centro Histórico,En vigencia,458
459,La Libertad,En vigencia,459
460,La Libertad,En vigencia,460
461,La Libertad,En vigencia,461
462,La Libertad,En vigencia,462
463,Centro Histórico,En vigencia,463
464,La Libertad,En vigencia,464
465,La Libertad,En vigencia,465
466,Centro Histórico,En vigencia,466
467,Comité Pueblo,En vigencia,467
468,La Libertad,En vigencia,468
469,Centro Histórico,En vigencia,469
470,Cochapamba,En vigencia,470
471,Centro Histórico,En vigencia,471
472,La Libertad,En vigencia,472
473,La Libertad,En vigencia,473
474,Centro Histórico,En vigencia,474
475,Centro Histórico,En vigencia,475
476,La Libertad,En vigencia,476
477,La Libertad,En vigencia,477
478,Quitumbe,En vigencia,478
479,La Libertad,En vigencia,479
480,La Libertad,En vigencia,480
481,Centro Histórico,En vigencia,481
482,Centro Histórico,En vigencia,482
483,La Argelia,En vigencia,483
484,La Libertad,En vigencia,484
485,Belisario Quevedo,En vigencia,485
486,Centro Histórico,En vigencia,486
487,Kennedy,En vigencia,487
488,Centro Histórico,En vigencia,488
489,Centro Histórico,En vigencia,489
490,Carcelén,En vigencia,490
491,La Ferroviaria,En vigencia,491
492,Centro Histórico,En vigencia,492
493,Carcelén,En vigencia,493
494,La Libertad,En vigencia,494
495,Centro Histórico,En vigencia,495
496,Centro Histórico,En vigencia,496
497,La Libertad,En vigencia,497
498,La Libertad,En vigencia,498
499,San Juan,En vigencia,499
500,La Libertad,En vigencia,500
501,Cochapamba,En vigencia,501
502,Comité Pueblo,En vigencia,502
503,Centro Histórico,En vigencia,503
504,Centro Histórico,En vigencia,504
505,Centro Histórico,En vigencia,505
506,Quitumbe,En vigencia,506
507,La Libertad,En vigencia,507
508,Centro Histórico,En vigencia,508
509,Centro Histórico,En vigencia,509
510,Centro Histórico,En vigencia,510
511,Centro Histórico,En vigencia,511
512,La Libertad,En vigencia,512
513,La Libertad,En vigencia,513
514,La Libertad,En vigencia,514
515,La Libertad,En vigencia,515
516,La Libertad,En vigencia,516
517,La Libertad,En vigencia,517
518,La Libertad,En vigencia,518
519,La Libertad,En vigencia,519
520,Centro Histórico,En vigencia,520
521,Centro Histórico,En vigencia,521
522,La Libertad,En vigencia,522
523,Cotocollao,En vigencia,523
524,La Libertad,En vigencia,524
525,La Libertad,En vigencia,525
526,Ponceano,En vigencia,526
527,Turubamba,En vigencia,527
528,Centro Histórico,En vigencia,528
529,Carcelén,En vigencia,529
530,Centro Histórico,En vigencia,530
531,Centro Histórico,En vigencia,531
532,El Condado,En vigencia,532
533,Chimbacalle,En vigencia,533
534,Belisario Quevedo,En vigencia,534
535,La Libertad,En vigencia,535
536,La Ferroviaria,En vigencia,536
537,Centro Histórico,En vigencia,537
538,Centro Histórico,En vigencia,538
539,La Libertad,En vigencia,539
540,La Libertad,En vigencia,540
541,Centro Histórico,En vigencia,541
542,Kennedy,En vigencia,542
543,Centro Histórico,En vigencia,543
544,Kennedy,En vigencia,544
545,Centro Histórico,En vigencia,545
546,La Ecuatoriana,En vigencia,546
547,Centro Histórico,En vigencia,547
548,Centro Histórico,En vigencia,548
549,La Libertad,En vigencia,549
550,San Juan,En vigencia,550
551,Centro Histórico,En vigencia,551
552,La Libertad,En vigencia,552
553,San Juan,En vigencia,553
554,La Libertad,En vigencia,554
555,Cotocollao,En vigencia,555
556,La Libertad,En vigencia,556
557,La Libertad,En vigencia,557
558,La Libertad,En vigencia,558
559,La Ecuatoriana,En vigencia,559
560,Centro Histórico,En vigencia,560
561,La Libertad,En vigencia,561
562,Comité Pueblo,En vigencia,562
563,Centro Histórico,No existe,563
564,La Libertad,En vigencia,564
565,Centro Histórico,En vigencia,565
566,Centro Histórico,En vigencia,566
567,El Inca,En vigencia,567
568,Centro Histórico,En vigencia,568
569,La Libertad,En vigencia,569
570,Centro Histórico,En vigencia,570
571,La Libertad,En vigencia,571
572,La Libertad,En vigencia,572
573,La Libertad,En vigencia,573
574,Kennedy,En vigencia,574
575,Centro Histórico,En vigencia,575
576,La Libertad,En vigencia,576
577,Centro Histórico,En vigencia,577
578,La Libertad,En vigencia,578
579,Centro Histórico,En vigencia,579
580,Centro Histórico,En vigencia,580
581,La Libertad,En vigencia,581
582,Centro Histórico,En vigencia,582
583,La Libertad,En vigencia,583
584,Magdalena,En vigencia,584
585,La Libertad,En vigencia,585
586,Iñaquito,En vigencia,586
587,La Libertad,En vigencia,587
588,La Libertad,En vigencia,588
589,Centro Histórico,En vigencia,589
590,Centro Histórico,En vigencia,590
591,Jipijapa,En vigencia,591
592,La Mena,En vigencia,592
593,Centro Histórico,En vigencia,593
594,Centro Histórico,En vigencia,594
595,Centro Histórico,En vigencia,595
596,La Libertad,En vigencia,596
597,Centro Histórico,En vigencia,597
598,El Condado,En vigencia,598
599,Centro Histórico,En vigencia,599
600,La Libertad,En vigencia,600
601,La Ecuatoriana,En vigencia,601
602,La Libertad,En vigencia,602
603,La Libertad,En vigencia,603
604,Centro Histórico,En vigencia,604
605,Centro Histórico,En vigencia,605
606,Centro Histórico,En vigencia,606
607,La Libertad,En vigencia,607
608,Centro Histórico,En vigencia,608
609,Itchimbía,En vigencia,609
610,Centro Histórico,En vigencia,610
611,Jipijapa,En vigencia,611
612,Cotocollao,En vigencia,612
613,Centro Histórico,En vigencia,613
614,Centro Histórico,En vigencia,614
615,Chilibulo,En vigencia,615
616,Chilibulo,En vigencia,616
617,Centro Histórico,En vigencia,617
618,San Bartolo,En vigencia,618
619,Turubamba,En vigencia,619
620,La Libertad,En vigencia,620
621,Ponceano,En vigencia,621
622,Guamaní,En vigencia,622
623,Ponceano,En vigencia,623
624,La Libertad,En vigencia,624
625,La Libertad,En vigencia,625
626,La Libertad,En vigencia,626
627,La Libertad,En vigencia,627
628,La Libertad,En vigencia,628
629,La Libertad,En vigencia,629
630,Centro Histórico,En vigencia,630
631,La Libertad,En vigencia,631
632,Centro Histórico,En vigencia,632
633,Centro Histórico,En vigencia,633
634,San Juan,En vigencia,634
635,La Libertad,En vigencia,635
636,Belisario Quevedo,En vigencia,636
637,Centro Histórico,En vigencia,637
638,La Libertad,En vigencia,638
639,La Ecuatoriana,En vigencia,639
640,Mariscal Sucre,En vigencia,640
641,La Libertad,En vigencia,641
642,Centro Histórico,En vigencia,642
643,Centro Histórico,En vigencia,643
644,La Libertad,En vigencia,644
645,La Libertad,En vigencia,645
646,Centro Histórico,En vigencia,646
647,Centro Histórico,En vigencia,647
648,La Libertad,En vigencia,648
649,La Libertad,En vigencia,649
650,El Inca,En vigencia,650
651,Centro Histórico,En vigencia,651
652,Centro Histórico,En vigencia,652
653,Centro Histórico,En vigencia,653
654,Puengasí,En vigencia,654
655,La Libertad,En vigencia,655
656,Centro Histórico,En vigencia,656
657,Comité Pueblo,En vigencia,657
658,La Mena,No existe,658
659,Cotocollao,En vigencia,659
660,Centro Histórico,En vigencia,660
661,Centro Histórico,En vigencia,661
662,La Libertad,En vigencia,662
663,La Libertad,En vigencia,663
664,Turubamba,En vigencia,664
665,Carcelén,En vigencia,665
666,Centro Histórico,En vigencia,666
667,La Libertad,En vigencia,667
668,Centro Histórico,En vigencia,668
669,La Ecuatoriana,En vigencia,669
670,Centro Histórico,En vigencia,670
671,Centro Histórico,En vigencia,671
672,Centro Histórico,En vigencia,672
673,Magdalena,En vigencia,673
674,La Libertad,En vigencia,674
675,La Ecuatoriana,En vigencia,675
676,Puengasí,En vigencia,676
677,Centro Histórico,En vigencia,677
678,Centro Histórico,En vigencia,678
679,Chimbacalle,En vigencia,679
680,La Libertad,En vigencia,680
681,Guamaní,En vigencia,681
682,Concepción,En vigencia,682
683,Ponceano,En vigencia,683
684,Centro Histórico,En vigencia,684
685,Cotocollao,En vigencia,685
686,Centro Histórico,En vigencia,686
687,Centro Histórico,En vigencia,687
688,Centro Histórico,En vigencia,688
689,La Libertad,En vigencia,689
690,Jipijapa,En vigencia,690
691,La Libertad,En vigencia,691
692,La Libertad,En vigencia,692
693,Centro Histórico,En vigencia,693
694,Centro Histórico,En vigencia,694
695,Centro Histórico,En vigencia,695
696,Centro Histórico,En vigencia,696
697,La Libertad,En vigencia,697
698,La Libertad,En vigencia,698
699,Chilibulo,En vigencia,699
700,Centro Histórico,En vigencia,700
701,La Libertad,En vigencia,701
702,La Argelia,En vigencia,702
703,La Libertad,En vigencia,703
704,Chillogallo,En vigencia,704
705,La Libertad,En vigencia,705
706,La Libertad,En vigencia,706
707,Centro Histórico,En vigencia,707
708,La Libertad,En vigencia,708
709,Centro Histórico,En vigencia,709
710,La Libertad,En vigencia,710
711,Centro Histórico,En vigencia,711
712,Centro Histórico,En vigencia,712
713,Centro Histórico,En vigencia,713
714,Centro Histórico,En vigencia,714
715,La Libertad,En vigencia,715
716,La Libertad,En vigencia,716
717,La Libertad,En vigencia,717
718,Centro Histórico,En vigencia,718
719,Chillogallo,En vigencia,719
720,Centro Histórico,En vigencia,720
721,Concepción,En vigencia,721
722,Centro Histórico,En vigencia,722
723,Centro Histórico,En vigencia,723
724,Centro Histórico,En vigencia,724
725,La Libertad,En vigencia,725
726,Centro Histórico,En vigencia,726
727,La Libertad,En vigencia,727
728,Centro Histórico,En vigencia,728
729,Iñaquito,En vigencia,729
730,El Condado,En vigencia,730
731,Quitumbe,En vigencia,731
732,Centro Histórico,En vigencia,732
733,Centro Histórico,En vigencia,733
734,Centro Histórico,En vigencia,734
735,Cochapamba,En vigencia,735
736,Comité Pueblo,En vigencia,736
737,Centro Histórico,En vigencia,737
738,La Ecuatoriana,En vigencia,738
739,Comité Pueblo,En vigencia,739
740,Guamaní,En vigencia,740
741,Comité Pueblo,En vigencia,741
742,Centro Histórico,En vigencia,742
743,Iñaquito,En vigencia,743
744,Guamaní,En vigencia,744
745,La Libertad,En vigencia,745
746,La Libertad,En vigencia,746
747,La Libertad,En vigencia,747
748,Centro Histórico,En vigencia,748
749,Centro Histórico,En vigencia,749
750,La Libertad,En vigencia,750
751,La Libertad,En vigencia,751
752,Concepción,En vigencia,752
753,La Libertad,En vigencia,753
754,Belisario Quevedo,En vigencia,754
755,La Libertad,En vigencia,755
756,Solanda,En vigencia,756
757,Centro Histórico,En vigencia,757
758,Centro Histórico,En vigencia,758
759,La Libertad,En vigencia,759
760,La Libertad,En vigencia,760
761,La Libertad,En vigencia,761
762,Centro Histórico,En vigencia,762
763,Centro Histórico,En vigencia,763
764,Centro Histórico,En vigencia,764
765,Centro Histórico,En vigencia,765
766,Centro Histórico,En vigencia,766
767,Ponceano,En vigencia,767
768,Centro Histórico,En vigencia,768
769,La Libertad,En vigencia,769
770,Centro Histórico,En vigencia,770
771,La Libertad,En vigencia,771
772,Centro Histórico,En vigencia,772
773,Centro Histórico,En vigencia,773
774,La Libertad,En vigencia,774
775,Jipijapa,En vigencia,775
776,La Libertad,En vigencia,776
777,Turubamba,En vigencia,777
778,Centro Histórico,En vigencia,778
779,Mariscal Sucre,En vigencia,779
780,Centro Histórico,En vigencia,780
781,Centro Histórico,No existe,781
782,La Libertad,En vigencia,782
783,La Libertad,No existe,783
784,El Inca,En vigencia,784
785,La Libertad,En vigencia,785
786,Centro Histórico,En vigencia,786
787,Ponceano,En vigencia,787
788,Centro Histórico,En vigencia,788
789,La Libertad,En vigencia,789
790,La Libertad,En vigencia,790
791,Cotocollao,En vigencia,791
792,Centro Histórico,En vigencia,792
793,Centro Histórico,En vigencia,793
794,La Libertad,En vigencia,794
795,Centro Histórico,En vigencia,795
796,La Libertad,En vigencia,796
797,Belisario Quevedo,En vigencia,797
798,La Libertad,En vigencia,798
799,Jipijapa,En vigencia,799
800,La Libertad,En vigencia,800
801,Centro Histórico,En vigencia,801
802,El Condado,En vigencia,802
803,La Libertad,En vigencia,803
804,Chillogallo,En vigencia,804
805,Centro Histórico,En vigencia,805
806,San Juan,En vigencia,806
807,Centro Histórico,En vigencia,807
808,La Libertad,En vigencia,808
809,Centro Histórico,No existe,809
810,Centro Histórico,En vigencia,810
811,Centro Histórico,En vigencia,811
812,Centro Histórico,En vigencia,812
813,Cochapamba,En vigencia,813
814,Centro Histórico,En vigencia,814
815,La Libertad,En vigencia,815
816,San Juan,En vigencia,816
817,Centro Histórico,En vigencia,817
818,Cochapamba,En vigencia,818
819,Centro Histórico,En vigencia,819
820,La Libertad,En vigencia,820
821,Centro Histórico,En vigencia,821
