nbr_pro_id,var_pro_nombre,var_pro_status,nbr_coor_id
77,Pichincha,En vigencia,77
78,Santo Domingo de los Tsáchilas,En vigencia,78
79,Pichincha,En vigencia,79
80,Pichincha,No existe,80
81,Tungurahua,En vigencia,81
82,Cañar,En vigencia,82
83,Chimborazo,En vigencia,83
84,Bolívar,En vigencia,84
85,Morona Santiago,En vigencia,85
86,Galapagos,En vigencia,86
87,Pichincha,En vigencia,87
88,Santa Elena,En vigencia,88
89,Pichincha,En vigencia,89
90,Santa Elena,En vigencia,90
91,Pichincha,En vigencia,91
92,Galapagos,En vigencia,92
93,Morona Santiago,En vigencia,93
94,Pichincha,En vigencia,94
95,Tungurahua,En vigencia,95
96,Orellana,En vigencia,96
97,Pichincha,En vigencia,97
98,Tungurahua,En vigencia,98
99,Sucumbíos,En vigencia,99
100,Cotopaxi,En vigencia,100
101,Orellana,En vigencia,101
102,Manabí,En vigencia,102
103,Tungurahua,En vigencia,103
104,Pichincha,En vigencia,104
105,Pichincha,En vigencia,105
106,Loja,En vigencia,106
107,Loja,En vigencia,107
108,Morona Santiago,En vigencia,108
109,Pastaza,En vigencia,109
110,Loja,En vigencia,110
111,Pichincha,En vigencia,111
112,Pichincha,En vigencia,112
113,Imbabura,En vigencia,113
114,Sucumbíos,En vigencia,114
115,Tungurahua,En vigencia,115
116,Santo Domingo de los Tsáchilas,En vigencia,116
117,Galapagos,En vigencia,117
118,Pichincha,En vigencia,118
119,Orellana,En vigencia,119
120,Pichincha,En vigencia,120
121,Loja,En vigencia,121
122,Pichincha,En vigencia,122
123,Morona Santiago,En vigencia,123
124,Pichincha,En vigencia,124
125,Cotopaxi,En vigencia,125
126,Bolívar,En vigencia,126
127,Sucumbíos,En vigencia,127
128,Pichincha,En vigencia,128
129,Guayas,En vigencia,129
130,Galapagos,En vigencia,130
131,El Oro,En vigencia,131
132,Pichincha,En vigencia,132
133,Esmeraldas,En vigencia,133
134,Los Ríos,En vigencia,134
135,Loja,En vigencia,135
136,Tungurahua,En vigencia,136
137,Santo Domingo de los Tsáchilas,En vigencia,137
138,Manabí,En vigencia,138
139,Cotopaxi,En vigencia,139
140,Pichincha,En vigencia,140
141,Cañar,En vigencia,141
142,Pichincha,En vigencia,142
143,Pichincha,En vigencia,143
144,Zamora Chinchipe,En vigencia,144
145,Azuay,En vigencia,145
146,Napo,En vigencia,146
147,Los Ríos,En vigencia,147
148,Pichincha,No existe,148
149,Cotopaxi,En vigencia,149
150,El Oro,En vigencia,150
151,Cotopaxi,En vigencia,151
152,Morona Santiago,En vigencia,152
153,Sucumbíos,En vigencia,153
154,Guayas,En vigencia,154
155,Los Ríos,En vigencia,155
156,Morona Santiago,En vigencia,156
157,Sucumbíos,En vigencia,157
158,Pichincha,En vigencia,158
159,El Oro,En vigencia,159
160,Carchi,En vigencia,160
161,Tungurahua,En vigencia,161
162,Orellana,En vigencia,162
163,Carchi,En vigencia,163
164,Bolívar,En vigencia,164
165,El Oro,En vigencia,165
166,Chimborazo,En vigencia,166
167,El Oro,En vigencia,167
168,Pichincha,En vigencia,168
169,Galapagos,En vigencia,169
170,Guayas,En vigencia,170
171,Morona Santiago,En vigencia,171
172,Pichincha,En vigencia,172
173,Los Ríos,En vigencia,173
174,Carchi,En vigencia,174
175,Sucumbíos,En vigencia,175
176,Napo,En vigencia,176
177,Cotopaxi,En vigencia,177
178,Manabí,En vigencia,178
179,Carchi,En vigencia,179
180,Santo Domingo de los Tsáchilas,En vigencia,180
181,Pichincha,En vigencia,181
182,Pichincha,No existe,182
183,Los Ríos,En vigencia,183
184,Carchi,En vigencia,184
185,Pichincha,En vigencia,185
186,Morona Santiago,En vigencia,186
187,Bolívar,En vigencia,187
188,Orellana,En vigencia,188
189,Pichincha,En vigencia,189
190,Cañar,En vigencia,190
191,Sucumbíos,En vigencia,191
192,Los Ríos,En vigencia,192
193,Cotopaxi,En vigencia,193
194,Orellana,En vigencia,194
195,Guayas,En vigencia,195
196,Imbabura,En vigencia,196
197,Carchi,En vigencia,197
198,Pichincha,En vigencia,198
199,Pichincha,En vigencia,199
200,Morona Santiago,En vigencia,200
201,Carchi,En vigencia,201
202,Santo Domingo de los Tsáchilas,En vigencia,202
203,Imbabura,En vigencia,203
204,Azuay,En vigencia,204
205,Carchi,En vigencia,205
206,Sucumbíos,En vigencia,206
207,Bolívar,En vigencia,207
208,Tungurahua,En vigencia,208
209,Esmeraldas,En vigencia,209
210,Sucumbíos,En vigencia,210
211,Tungurahua,En vigencia,211
212,Manabí,En vigencia,212
213,Pichincha,En vigencia,213
214,Tungurahua,En vigencia,214
215,Cañar,En vigencia,215
216,Galapagos,En vigencia,216
217,Pichincha,En vigencia,217
218,Carchi,En vigencia,218
219,Santo Domingo de los Tsáchilas,En vigencia,219
220,Pichincha,En vigencia,220
221,Pichincha,En vigencia,221
222,Pichincha,En vigencia,222
223,Sucumbíos,En vigencia,223
224,Carchi,En vigencia,224
225,Galapagos,En vigencia,225
226,Los Ríos,En vigencia,226
227,Imbabura,En vigencia,227
228,Tungurahua,En vigencia,228
229,Chimborazo,En vigencia,229
230,Pichincha,En vigencia,230
231,El Oro,En vigencia,231
232,Cotopaxi,En vigencia,232
233,Tungurahua,En vigencia,233
234,Morona Santiago,En vigencia,234
235,Pichincha,En vigencia,235
236,Santo Domingo de los Tsáchilas,En vigencia,236
237,Pichincha,En vigencia,237
238,Loja,En vigencia,238
239,Los Ríos,En vigencia,239
240,Cañar,En vigencia,240
241,Zamora Chinchipe,En vigencia,241
242,Santo Domingo de los Tsáchilas,En vigencia,242
243,Pichincha,En vigencia,243
244,Guayas,En vigencia,244
245,Carchi,En vigencia,245
246,Pichincha,En vigencia,246
247,Loja,En vigencia,247
248,Galapagos,En vigencia,248
249,Chimborazo,En vigencia,249
250,Cotopaxi,En vigencia,250
251,Carchi,No existe,251
252,Chimborazo,En vigencia,252
253,Santa Elena,En vigencia,253
254,Azuay,En vigencia,254
255,Morona Santiago,En vigencia,255
256,Chimborazo,En vigencia,256
257,Guayas,En vigencia,257
258,Esmeraldas,En vigencia,258
259,Cañar,En vigencia,259
260,Loja,En vigencia,260
261,Loja,En vigencia,261
262,Galapagos,En vigencia,262
263,Pichincha,En vigencia,263
264,Imbabura,En vigencia,264
265,Santo Domingo de los Tsáchilas,En vigencia,265
266,Morona Santiago,En vigencia,266
267,Manabí,En vigencia,267
268,Morona Santiago,En vigencia,268
269,Esmeraldas,No existe,269
270,Loja,En vigencia,270
271,Santo Domingo de los Tsáchilas,En vigencia,271
272,Napo,En vigencia,272
273,Santo Domingo de los Tsáchilas,En vigencia,273
274,Zamora Chinchipe,En vigencia,274
275,El Oro,En vigencia,275
276,Imbabura,En vigencia,276
277,Pichincha,No existe,277
278,Pastaza,En vigencia,278
279,Pichincha,En vigencia,279
280,Orellana,En vigencia,280
281,Pichincha,En vigencia,281
282,Carchi,En vigencia,282
283,Galapagos,En vigencia,283
284,Chimborazo,No existe,284
285,Pichincha,En vigencia,285
286,Imbabura,En vigencia,286
287,Manabí,En vigencia,287
288,Napo,En vigencia,288
289,Carchi,En vigencia,289
290,Santa Elena,En vigencia,290
291,Pichincha,En vigencia,291
292,Cañar,En vigencia,292
293,Pastaza,En vigencia,293
294,Manabí,En vigencia,294
295,Pichincha,En vigencia,295
296,Pichincha,En vigencia,296
297,Zamora Chinchipe,En vigencia,297
298,Tungurahua,En vigencia,298
299,Sucumbíos,En vigencia,299
300,Pastaza,En vigencia,300
301,Orellana,En vigencia,301
302,Napo,En vigencia,302
303,Bolívar,En vigencia,303
304,Los Ríos,En vigencia,304
305,Carchi,En vigencia,305
306,Pichincha,En vigencia,306
307,Santo Domingo de los Tsáchilas,En vigencia,307
308,Carchi,En vigencia,308
309,Santo Domingo de los Tsáchilas,En vigencia,309
310,Orellana,En vigencia,310
311,El Oro,En vigencia,311
312,Orellana,En vigencia,312
313,Zamora Chinchipe,No existe,313
314,Imbabura,En vigencia,314
315,Galapagos,En vigencia,315
316,Santo Domingo de los Tsáchilas,En vigencia,316
317,Santo Domingo de los Tsáchilas,En vigencia,317
318,Carchi,En vigencia,318
319,Loja,En vigencia,319
320,Cotopaxi,En vigencia,320
321,Los Ríos,En vigencia,321
322,Esmeraldas,En vigencia,322
323,Manabí,En vigencia,323
324,Azuay,En vigencia,324
325,Cotopaxi,En vigencia,325
326,Pichincha,En vigencia,326
327,Pastaza,En vigencia,327
328,Morona Santiago,No existe,328
329,Pichincha,En vigencia,329
330,Pichincha,En vigencia,330
331,Pichincha,En vigencia,331
332,Guayas,En vigencia,332
333,Azuay,En vigencia,333
334,Zamora Chinchipe,En vigencia,334
335,Azuay,En vigencia,335
336,Loja,En vigencia,336
337,Napo,En vigencia,337
338,Orellana,En vigencia,338
339,Carchi,En vigencia,339
340,Azuay,En vigencia,340
341,Loja,En vigencia,341
342,Pichincha,En vigencia,342
343,Galapagos,En vigencia,343
344,Santa Elena,No existe,344
345,Cañar,En vigencia,345
346,Galapagos,En vigencia,346
347,Cañar,En vigencia,347
348,Cañar,En vigencia,348
349,Galapagos,En vigencia,349
350,Guayas,En vigencia,350
351,Carchi,En vigencia,351
352,Orellana,En vigencia,352
353,Pichincha,En vigencia,353
354,Napo,No existe,354
355,Galapagos,En vigencia,355
356,Guayas,En vigencia,356
357,Pichincha,En vigencia,357
358,Guayas,En vigencia,358
359,Tungurahua,En vigencia,359
360,Santo Domingo de los Tsáchilas,En vigencia,360
361,Sucumbíos,En vigencia,361
362,Zamora Chinchipe,En vigencia,362
363,Guayas,En vigencia,363
364,Pichincha,En vigencia,364
365,Santa Elena,En vigencia,365
366,Pichincha,En vigencia,366
367,Pichincha,En vigencia,367
368,Guayas,En vigencia,368
369,Orellana,En vigencia,369
370,Chimborazo,En vigencia,370
371,Pichincha,En vigencia,371
372,Zamora Chinchipe,En vigencia,372
373,Carchi,En vigencia,373
374,Pichincha,En vigencia,374
375,Galapagos,En vigencia,375
376,Santo Domingo de los Tsáchilas,En vigencia,376
377,Zamora Chinchipe,En vigencia,377
378,Sucumbíos,En vigencia,378
379,Manabí,En vigencia,379
380,Loja,En vigencia,380
381,Pastaza,En vigencia,381
382,Azuay,En vigencia,382
383,Pichincha,En vigencia,383
384,Guayas,En vigencia,384
385,Cañar,En vigencia,385
386,Loja,En vigencia,386
387,Chimborazo,En vigencia,387
388,Pichincha,En vigencia,388
389,Pichincha,En vigencia,389
390,Morona Santiago,En vigencia,390
391,Napo,En vigencia,391
392,Azuay,En vigencia,392
393,Pichincha,No existe,393
394,Santo Domingo de los Tsáchilas,En vigencia,394
395,Pichincha,En vigencia,395
396,Carchi,En vigencia,396
397,Sucumbíos,En vigencia,397
398,Morona Santiago,En vigencia,398
399,Chimborazo,En vigencia,399
400,Pichincha,En vigencia,400
401,Pichincha,En vigencia,401
402,Pichincha,En vigencia,402
403,Morona Santiago,En vigencia,403
404,Chimborazo,En vigencia,404
405,Pichincha,En vigencia,405
406,Tungurahua,En vigencia,406
407,Orellana,En vigencia,407
408,Pichincha,En vigencia,408
409,Pichincha,En vigencia,409
410,Pichincha,En vigencia,410
411,Imbabura,En vigencia,411
412,Cotopaxi,No existe,412
413,Manabí,En vigencia,413
414,Napo,En vigencia,414
415,Sucumbíos,En vigencia,415
416,Cotopaxi,En vigencia,416
417,Santo Domingo de los Tsáchilas,En vigencia,417
418,Tungurahua,En vigencia,418
419,Guayas,En vigencia,419
420,Sucumbíos,En vigencia,420
421,Zamora Chinchipe,En vigencia,421
422,Pichincha,En vigencia,422
423,Cotopaxi,En vigencia,423
424,Pichincha,En vigencia,424
425,Pichincha,En vigencia,425
426,El Oro,En vigencia,426
427,Pichincha,En vigencia,427
428,Cotopaxi,No existe,428
429,Pichincha,En vigencia,429
430,Santa Elena,En vigencia,430
431,Pichincha,En vigencia,431
432,Pastaza,En vigencia,432
433,Pichincha,En vigencia,433
434,Pichincha,En vigencia,434
435,Santo Domingo de los Tsáchilas,En vigencia,435
436,Esmeraldas,En vigencia,436
437,Pichincha,En vigencia,437
438,Esmeraldas,En vigencia,438
439,Zamora Chinchipe,En vigencia,439
440,Santa Elena,En vigencia,440
441,El Oro,En vigencia,441
442,Sucumbíos,En vigencia,442
443,Santa Elena,No existe,443
444,Sucumbíos,En vigencia,444
445,Esmeraldas,En vigencia,445
446,Pichincha,En vigencia,446
447,Santa Elena,En vigencia,447
448,Zamora Chinchipe,En vigencia,448
449,Orellana,En vigencia,449
450,Tungurahua,En vigencia,450
451,Pichincha,En vigencia,451
452,Pichincha,En vigencia,452
453,Esmeraldas,En vigencia,453
454,Pichincha,En vigencia,454
455,Galapagos,En vigencia,455
456,Azuay,En vigencia,456
457,Guayas,En vigencia,457
458,Pichincha,En vigencia,458
459,Napo,En vigencia,459
460,Bolívar,En vigencia,460
461,Pichincha,En vigencia,461
462,Santa Elena,En vigencia,462
463,Pichincha,No existe,463
464,Los Ríos,En vigencia,464
465,Pichincha,No existe,465
466,Pichincha,En vigencia,466
467,Carchi,En vigencia,467
468,Pichincha,En vigencia,468
469,Chimborazo,En vigencia,469
470,Bolívar,En vigencia,470
471,Morona Santiago,En vigencia,471
472,Sucumbíos,En vigencia,472
473,Cotopaxi,En vigencia,473
474,Pichincha,En vigencia,474
475,Azuay,No existe,475
476,Napo,En vigencia,476
477,Pichincha,En vigencia,477
478,Pichincha,En vigencia,478
479,Azuay,En vigencia,479
480,Manabí,En vigencia,480
481,Imbabura,En vigencia,481
482,Azuay,En vigencia,482
483,Pastaza,En vigencia,483
484,Cañar,En vigencia,484
485,Orellana,En vigencia,485
486,Tungurahua,En vigencia,486
487,Tungurahua,En vigencia,487
488,Sucumbíos,En vigencia,488
489,Pastaza,En vigencia,489
490,Cañar,En vigencia,490
491,Carchi,En vigencia,491
492,Los Ríos,En vigencia,492
493,Guayas,En vigencia,493
494,Loja,En vigencia,494
495,Pichincha,En vigencia,495
496,Azuay,En vigencia,496
497,Pichincha,En vigencia,497
498,Bolívar,No existe,498
499,Pichincha,En vigencia,499
500,Loja,En vigencia,500
501,Cañar,En vigencia,501
502,Azuay,En vigencia,502
503,Zamora Chinchipe,En vigencia,503
504,Chimborazo,No existe,504
505,Imbabura,En vigencia,505
506,Los Ríos,En vigencia,506
507,Pichincha,En vigencia,507
508,Azuay,En vigencia,508
509,Tungurahua,En vigencia,509
510,Pastaza,En vigencia,510
511,Santo Domingo de los Tsáchilas,En vigencia,511
512,Pichincha,En vigencia,512
513,Azuay,En vigencia,513
514,Zamora Chinchipe,En vigencia,514
515,Napo,En vigencia,515
516,Carchi,En vigencia,516
517,Loja,En vigencia,517
518,El Oro,En vigencia,518
519,Cañar,No existe,519
520,Chimborazo,En vigencia,520
521,Napo,En vigencia,521
522,Chimborazo,En vigencia,522
523,Cañar,En vigencia,523
524,Tungurahua,En vigencia,524
525,Napo,En vigencia,525
526,Morona Santiago,En vigencia,526
527,Pastaza,En vigencia,527
528,Pichincha,En vigencia,528
529,Los Ríos,En vigencia,529
530,Zamora Chinchipe,En vigencia,530
531,Cotopaxi,En vigencia,531
532,Sucumbíos,En vigencia,532
533,Orellana,En vigencia,533
534,Guayas,En vigencia,534
535,Cañar,En vigencia,535
536,Azuay,En vigencia,536
537,Pichincha,En vigencia,537
538,Imbabura,En vigencia,538
539,Chimborazo,En vigencia,539
540,Morona Santiago,En vigencia,540
541,Esmeraldas,En vigencia,541
542,Loja,En vigencia,542
543,Manabí,En vigencia,543
544,Cotopaxi,En vigencia,544
545,Chimborazo,En vigencia,545
546,Manabí,En vigencia,546
547,Esmeraldas,En vigencia,547
548,Manabí,En vigencia,548
549,El Oro,En vigencia,549
550,Manabí,En vigencia,550
551,Cotopaxi,En vigencia,551
552,Carchi,En vigencia,552
553,Guayas,En vigencia,553
554,Los Ríos,En vigencia,554
555,Tungurahua,En vigencia,555
556,Manabí,En vigencia,556
557,Pichincha,En vigencia,557
558,Manabí,En vigencia,558
559,Azuay,En vigencia,559
560,Zamora Chinchipe,En vigencia,560
561,Loja,En vigencia,561
562,Cotopaxi,En vigencia,562
563,Cotopaxi,En vigencia,563
564,Napo,En vigencia,564
565,Bolívar,En vigencia,565
566,Morona Santiago,En vigencia,566
567,Los Ríos,En vigencia,567
568,Pichincha,En vigencia,568
569,Chimborazo,En vigencia,569
570,Bolívar,En vigencia,570
571,Pichincha,No existe,571
572,Pichincha,En vigencia,572
573,Azuay,En vigencia,573
574,Cañar,En vigencia,574
575,Azuay,En vigencia,575
576,Santo Domingo de los Tsáchilas,En vigencia,576
577,Pastaza,En vigencia,577
578,Los Ríos,En vigencia,578
579,Loja,En vigencia,579
580,Pichincha,En vigencia,580
581,Pichincha,En vigencia,581
582,Morona Santiago,En vigencia,582
583,Azuay,En vigencia,583
584,Bolívar,En vigencia,584
585,Manabí,En vigencia,585
586,Pichincha,En vigencia,586
587,Pichincha,En vigencia,587
588,Los Ríos,No existe,588
589,Galapagos,En vigencia,589
590,Tungurahua,En vigencia,590
591,Cañar,En vigencia,591
592,Pichincha,En vigencia,592
593,Sucumbíos,En vigencia,593
594,Loja,En vigencia,594
595,Santo Domingo de los Tsáchilas,En vigencia,595
596,Pastaza,En vigencia,596
597,Pichincha,En vigencia,597
598,Pichincha,En vigencia,598
599,Imbabura,En vigencia,599
600,Pichincha,En vigencia,600
601,Pichincha,En vigencia,601
602,Esmeraldas,En vigencia,602
603,Santo Domingo de los Tsáchilas,En vigencia,603
604,Santo Domingo de los Tsáchilas,En vigencia,604
605,Loja,En vigencia,605
606,Sucumbíos,En vigencia,606
607,Pichincha,En vigencia,607
608,Imbabura,En vigencia,608
609,Cotopaxi,En vigencia,609
610,Pichincha,En vigencia,610
611,Cotopaxi,En vigencia,611
612,Orellana,En vigencia,612
613,Santa Elena,En vigencia,613
614,Tungurahua,En vigencia,614
615,Pichincha,En vigencia,615
616,Zamora Chinchipe,En vigencia,616
617,Morona Santiago,En vigencia,617
618,Pichincha,En vigencia,618
619,Tungurahua,En vigencia,619
620,Manabí,En vigencia,620
621,Imbabura,En vigencia,621
622,Manabí,En vigencia,622
623,Cotopaxi,En vigencia,623
624,Santo Domingo de los Tsáchilas,En vigencia,624
625,Santa Elena,En vigencia,625
626,Los Ríos,En vigencia,626
627,Loja,En vigencia,627
628,Orellana,En vigencia,628
629,Tungurahua,En vigencia,629
630,Sucumbíos,En vigencia,630
631,Cañar,En vigencia,631
632,Morona Santiago,En vigencia,632
633,Bolívar,En vigencia,633
634,Los Ríos,En vigencia,634
635,Pichincha,En vigencia,635
636,Pichincha,En vigencia,636
637,El Oro,En vigencia,637
638,Orellana,En vigencia,638
639,Napo,En vigencia,639
640,El Oro,En vigencia,640
641,Carchi,En vigencia,641
642,Manabí,En vigencia,642
643,Esmeraldas,En vigencia,643
644,Cotopaxi,En vigencia,644
645,Morona Santiago,En vigencia,645
646,Pichincha,En vigencia,646
647,Pichincha,No existe,647
648,Azuay,En vigencia,648
649,Orellana,En vigencia,649
650,Pastaza,En vigencia,650
651,Pichincha,En vigencia,651
652,Pichincha,En vigencia,652
653,Sucumbíos,En vigencia,653
654,Galapagos,No existe,654
655,Esmeraldas,En vigencia,655
656,Santa Elena,No existe,656
657,Esmeraldas,En vigencia,657
658,Sucumbíos,En vigencia,658
659,Imbabura,En vigencia,659
660,Sucumbíos,En vigencia,660
661,Chimborazo,En vigencia,661
662,Pichincha,En vigencia,662
663,Zamora Chinchipe,En vigencia,663
664,Manabí,En vigencia,664
665,Orellana,No existe,665
666,Cotopaxi,En vigencia,666
667,Pichincha,En vigencia,667
668,Chimborazo,En vigencia,668
669,Tungurahua,En vigencia,669
670,Tungurahua,En vigencia,670
671,Zamora Chinchipe,En vigencia,671
672,Imbabura,En vigencia,672
673,Zamora Chinchipe,En vigencia,673
674,Pichincha,En vigencia,674
675,Manabí,En vigencia,675
676,Bolívar,En vigencia,676
677,Tungurahua,En vigencia,677
678,Pichincha,En vigencia,678
679,Santa Elena,En vigencia,679
680,Cotopaxi,En vigencia,680
681,Zamora Chinchipe,En vigencia,681
682,Orellana,En vigencia,682
683,Pichincha,En vigencia,683
684,Pichincha,En vigencia,684
685,Cotopaxi,En vigencia,685
686,Pichincha,En vigencia,686
687,Pichincha,En vigencia,687
688,Orellana,En vigencia,688
689,Pichincha,En vigencia,689
690,Napo,En vigencia,690
691,El Oro,En vigencia,691
692,Tungurahua,En vigencia,692
693,Orellana,En vigencia,693
694,Cotopaxi,En vigencia,694
695,Bolívar,En vigencia,695
696,Pichincha,En vigencia,696
697,Pichincha,En vigencia,697
698,Manabí,En vigencia,698
699,Morona Santiago,En vigencia,699
700,Loja,En vigencia,700
701,Esmeraldas,En vigencia,701
702,Imbabura,En vigencia,702
703,Pichincha,En vigencia,703
704,Pichincha,En vigencia,704
705,Guayas,En vigencia,705
706,Morona Santiago,En vigencia,706
707,Pichincha,En vigencia,707
708,Carchi,En vigencia,708
709,Santo Domingo de los Tsáchilas,En vigencia,709
710,Santa Elena,En vigencia,710
711,Carchi,En vigencia,711
712,Santo Domingo de los Tsáchilas,En vigencia,712
713,Bolívar,En vigencia,713
714,Pichincha,En vigencia,714
715,Santa Elena,En vigencia,715
716,Sucumbíos,En vigencia,716
717,Chimborazo,En vigencia,717
718,Pichincha,En vigencia,718
719,Bolívar,En vigencia,719
720,Cañar,En vigencia,720
721,Pichincha,En vigencia,721
722,Pichincha,En vigencia,722
723,Guayas,En vigencia,723
724,Los Ríos,En vigencia,724
725,Imbabura,En vigencia,725
726,Orellana,En vigencia,726
727,Zamora Chinchipe,En vigencia,727
728,Napo,En vigencia,728
729,Bolívar,En vigencia,729
730,Esmeraldas,En vigencia,730
731,Pichincha,En vigencia,731
732,Tungurahua,En vigencia,732
733,Bolívar,En vigencia,733
734,Pichincha,En vigencia,734
735,El Oro,En vigencia,735
736,Chimborazo,En vigencia,736
737,Pichincha,En vigencia,737
738,Pichincha,En vigencia,738
739,Orellana,En vigencia,739
740,Napo,En vigencia,740
741,Bolívar,En vigencia,741
742,Santa Elena,En vigencia,742
743,Zamora Chinchipe,En vigencia,743
744,Pastaza,En vigencia,744
745,Azuay,En vigencia,745
746,Carchi,En vigencia,746
747,Pichincha,En vigencia,747
748,Napo,En vigencia,748
749,Cañar,En vigencia,749
750,Bolívar,En vigencia,750
751,Cotopaxi,En vigencia,751
752,Pichincha,En vigencia,752
753,El Oro,En vigencia,753
754,Azuay,En vigencia,754
755,Esmeraldas,En vigencia,755
756,Pichincha,En vigencia,756
757,Sucumbíos,En vigencia,757
758,Pichincha,En vigencia,758
759,Bolívar,En vigencia,759
760,Guayas,En vigencia,760
761,Napo,En vigencia,761
762,Santo Domingo de los Tsáchilas,En vigencia,762
763,Napo,En vigencia,763
764,Napo,En vigencia,764
765,Morona Santiago,En vigencia,765
766,Azuay,En vigencia,766
767,Pichincha,En vigencia,767
768,Tungurahua,En vigencia,768
769,Pichincha,En vigencia,769
770,Imbabura,En vigencia,770
771,Cotopaxi,En vigencia,771
772,Orellana,En vigencia,772
773,Bolívar,En vigencia,773
774,Carchi,En vigencia,774
775,Morona Santiago,En vigencia,775
776,Carchi,En vigencia,776
777,Tungurahua,En vigencia,777
778,Cañar,En vigencia,778
779,Pastaza,En vigencia,779
780,Pichincha,No existe,780
781,Chimborazo,En vigencia,781
782,Loja,En vigencia,782
783,Los Ríos,En vigencia,783
784,Pichincha,En vigencia,784
785,Guayas,En vigencia,785
786,Zamora Chinchipe,En vigencia,786
787,Sucumbíos,En vigencia,787
788,Pichincha,En vigencia,788
789,Loja,En vigencia,789
790,Zamora Chinchipe,En vigencia,790
791,Pichincha,En vigencia,791
792,Santa Elena,En vigencia,792
793,Pastaza,En vigencia,793
794,Carchi,En vigencia,794
795,Loja,En vigencia,795
796,Napo,En vigencia,796
797,Los Ríos,En vigencia,797
798,Sucumbíos,En vigencia,798
799,Pichincha,En vigencia,799
800,Loja,En vigencia,800
801,Loja,En vigencia,801
802,Bolívar,En vigencia,802
803,Pichincha,En vigencia,803
804,El Oro,En vigencia,804
805,Carchi,En vigencia,805
806,Santo Domingo de los Tsáchilas,En vigencia,806
807,Orellana,En vigencia,807
808,Carchi,En vigencia,808
809,Guayas,En vigencia,809
810,Los Ríos,En vigencia,810
811,Pichincha,En vigencia,811
812,Pastaza,En vigencia,812
813,Tungurahua,En vigencia,813
814,El Oro,En vigencia,814
815,Loja,En vigencia,815
816,Galapagos,En vigencia,816
817,Pichincha,En vigencia,817
818,Pichincha,En vigencia,818
819,Napo,En vigencia,819
820,Sucumbíos,En vigencia,820
821,Carchi,En vigencia,821
822,Pichincha,En vigencia,822
823,Cotopaxi,En vigencia,823
824,Pichincha,En vigencia,824
825,Azuay,En vigencia,825
826,Napo,En vigencia,826
827,Pichincha,En vigencia,827
828,Cañar,En vigencia,828
829,Pichincha,En vigencia,829
830,Cañar,En vigencia,830
831,Cotopaxi,En vigencia,831
832,Chimborazo,En vigencia,832
833,Pichincha,En vigencia,833
834,Orellana,En vigencia,834
835,Esmeraldas,En vigencia,835
836,Cañar,No existe,836
837,Guayas,En vigencia,837
838,Pichincha,En vigencia,838
839,Pichincha,En vigencia,839
840,Pastaza,En vigencia,840
841,Pichincha,En vigencia,841
842,Napo,En vigencia,842
843,Zamora Chinchipe,En vigencia,843
