nbr_hab_id,var_hab_descripcion,nbr_upc_id,nbr_pol_id
97,Movil,97,97
98,Movil,98,98
99,Movil,99,99
100,Barrial,100,100
101,Movil,101,101
102,Barrial,102,102
103,Movil,103,103
104,Movil,104,104
105,Barrial,105,105
106,Barrial,106,106
107,Barrial,107,107
108,Barrial,108,108
109,Barrial,109,109
110,Movil,110,110
111,Barrial,111,111
112,Barrial,112,112
113,Movil,113,113
114,Barrial,114,114
115,Movil,115,115
116,Movil,116,116
117,Movil,117,117
118,Barrial,118,118
119,Barrial,119,119
120,Movil,120,120
121,Barrial,121,121
122,Barrial,122,122
123,Barrial,123,123
124,Barrial,124,124
125,Movil,125,125
126,Barrial,126,126
127,Barrial,127,127
128,Barrial,128,128
129,Barrial,129,129
130,Barrial,130,130
131,Barrial,131,131
132,Barrial,132,132
133,Barrial,133,133
134,Barrial,134,134
135,Barrial,135,135
136,Barrial,136,136
137,Barrial,137,137
138,Barrial,138,138
139,Movil,139,139
140,Barrial,140,140
141,Barrial,141,141
142,Movil,142,142
143,Movil,143,143
144,Movil,144,144
145,Barrial,145,145
146,Barrial,146,146
147,Barrial,147,147
148,Movil,148,148
149,Barrial,149,149
150,Barrial,150,150
151,Barrial,151,151
152,Barrial,152,152
153,Movil,153,153
154,Movil,154,154
155,Movil,155,155
156,Barrial,156,156
157,Barrial,157,157
158,Movil,158,158
159,Barrial,159,159
160,Barrial,160,160
161,Barrial,161,161
162,Barrial,162,162
163,Barrial,163,163
164,Barrial,164,164
165,Barrial,165,165
166,Barrial,166,166
167,Barrial,167,167
168,Barrial,168,168
169,Barrial,169,169
170,Barrial,170,170
171,Barrial,171,171
172,Movil,172,172
173,Barrial,173,173
174,Barrial,174,174
175,Barrial,175,175
176,Barrial,176,176
177,Barrial,177,177
178,Movil,178,178
179,Barrial,179,179
180,Barrial,180,180
181,Barrial,181,181
182,Barrial,182,182
183,Barrial,183,183
184,Barrial,184,184
185,Barrial,185,185
186,Barrial,186,186
187,Barrial,187,187
188,Barrial,188,188
189,Barrial,189,189
190,Barrial,190,190
191,Barrial,191,191
192,Barrial,192,192
193,Barrial,193,193
194,Barrial,194,194
195,Barrial,195,195
196,Barrial,196,196
197,Barrial,197,197
198,Barrial,198,198
199,Movil,199,199
200,Movil,200,200
201,Barrial,201,201
202,Barrial,202,202
203,Barrial,203,203
204,Barrial,204,204
205,Movil,205,205
206,Movil,206,206
207,Movil,207,207
208,Barrial,208,208
209,Movil,209,209
210,Barrial,210,210
211,Movil,211,211
212,Barrial,212,212
213,Barrial,213,213
214,Barrial,214,214
215,Barrial,215,215
216,Barrial,216,216
217,Barrial,217,217
218,Barrial,218,218
219,Barrial,219,219
220,Barrial,220,220
221,Movil,221,221
222,Movil,222,222
223,Barrial,223,223
224,Barrial,224,224
225,Barrial,225,225
226,Barrial,226,226
227,Barrial,227,227
228,Barrial,228,228
229,Movil,229,229
230,Barrial,230,230
231,Barrial,231,231
232,Barrial,232,232
233,Movil,233,233
234,Barrial,234,234
235,Barrial,235,235
236,Barrial,236,236
237,Barrial,237,237
238,Barrial,238,238
239,Barrial,239,239
240,Barrial,240,240
241,Barrial,241,241
242,Barrial,242,242
243,Barrial,243,243
244,Barrial,244,244
245,Barrial,245,245
246,Barrial,246,246
247,Movil,247,247
248,Barrial,248,248
249,Barrial,249,249
250,Barrial,250,250
251,Barrial,251,251
252,Barrial,252,252
253,Barrial,253,253
254,Barrial,254,254
255,Barrial,255,255
256,Barrial,256,256
257,Movil,257,257
258,Barrial,258,258
259,Barrial,259,259
260,Barrial,260,260
261,Barrial,261,261
262,Barrial,262,262
263,Barrial,263,263
264,Barrial,264,264
265,Movil,265,265
266,Barrial,266,266
267,Barrial,267,267
268,Barrial,268,268
269,Movil,269,269
270,Barrial,270,270
271,Barrial,271,271
272,Movil,272,272
273,Barrial,273,273
274,Barrial,274,274
275,Barrial,275,275
276,Barrial,276,276
277,Barrial,277,277
278,Barrial,278,278
279,Movil,279,279
280,Barrial,280,280
281,Barrial,281,281
282,Barrial,282,282
283,Barrial,283,283
284,Barrial,284,284
285,Barrial,285,285
286,Barrial,286,286
287,Movil,287,287
288,Barrial,288,288
289,Barrial,289,289
290,Barrial,290,290
291,Barrial,291,291
292,Barrial,292,292
293,Barrial,293,293
294,Barrial,294,294
295,Barrial,295,295
296,Barrial,296,296
297,Barrial,297,297
298,Barrial,298,298
299,Barrial,299,299
300,Barrial,300,300
301,Barrial,301,301
302,Barrial,302,302
303,Barrial,303,303
304,Barrial,304,304
305,Barrial,305,305
306,Barrial,306,306
307,Barrial,307,307
308,Barrial,308,308
309,Barrial,309,309
310,Barrial,310,310
311,Barrial,311,311
312,Barrial,312,312
313,Barrial,313,313
314,Barrial,314,314
315,Barrial,315,315
316,Barrial,316,316
317,Barrial,317,317
318,Movil,318,318
319,Barrial,319,319
320,Barrial,320,320
321,Barrial,321,321
322,Barrial,322,322
323,Movil,323,323
324,Movil,324,324
325,Barrial,325,325
326,Barrial,326,326
327,Barrial,327,327
328,Barrial,328,328
329,Barrial,329,329
330,Barrial,330,330
331,Barrial,331,331
332,Movil,332,332
333,Barrial,333,333
334,Barrial,334,334
335,Barrial,335,335
336,Movil,336,336
337,Barrial,337,337
338,Movil,338,338
339,Barrial,339,339
340,Barrial,340,340
341,Barrial,341,341
342,Barrial,342,342
343,Barrial,343,343
344,Movil,344,344
345,Barrial,345,345
346,Barrial,346,346
347,Barrial,347,347
348,Barrial,348,348
349,Barrial,349,349
350,Barrial,350,350
351,Movil,351,351
352,Barrial,352,352
353,Barrial,353,353
354,Movil,354,354
355,Barrial,355,355
356,Barrial,356,356
357,Barrial,357,357
358,Barrial,358,358
359,Barrial,359,359
360,Barrial,360,360
361,Barrial,361,361
362,Barrial,362,362
363,Barrial,363,363
364,Barrial,364,364
365,Barrial,365,365
366,Barrial,366,366
367,Barrial,367,367
368,Barrial,368,368
369,Movil,369,369
370,Barrial,370,370
371,Barrial,371,371
372,Barrial,372,372
373,Barrial,373,373
374,Barrial,374,374
375,Barrial,375,375
376,Barrial,376,376
377,Barrial,377,377
378,Barrial,378,378
379,Barrial,379,379
380,Barrial,380,380
381,Barrial,381,381
382,Movil,382,382
383,Barrial,383,383
384,Barrial,384,384
385,Barrial,385,385
386,Movil,386,386
387,Barrial,387,387
388,Barrial,388,388
389,Barrial,389,389
390,Barrial,390,390
391,Barrial,391,391
392,Barrial,392,392
393,Barrial,393,393
394,Barrial,394,394
395,Movil,395,395
396,Barrial,396,396
397,Movil,397,397
398,Barrial,398,398
399,Movil,399,399
400,Barrial,400,400
401,Movil,401,401
402,Barrial,402,402
403,Barrial,403,403
404,Barrial,404,404
405,Movil,405,405
406,Barrial,406,406
407,Barrial,407,407
408,Barrial,408,408
409,Barrial,409,409
410,Barrial,410,410
411,Barrial,411,411
412,Barrial,412,412
413,Barrial,413,413
414,Barrial,414,414
415,Barrial,415,415
416,Barrial,416,416
417,Barrial,417,417
418,Barrial,418,418
419,Barrial,419,419
420,Barrial,420,420
421,Movil,421,421
422,Barrial,422,422
423,Barrial,423,423
424,Barrial,424,424
425,Barrial,425,425
426,Barrial,426,426
427,Barrial,427,427
428,Barrial,428,428
429,Barrial,429,429
430,Barrial,430,430
431,Movil,431,431
432,Barrial,432,432
433,Movil,433,433
434,Barrial,434,434
435,Barrial,435,435
436,Movil,436,436
437,Barrial,437,437
438,Barrial,438,438
439,Barrial,439,439
440,Barrial,440,440
441,Barrial,441,441
442,Barrial,442,442
443,Movil,443,443
444,Barrial,444,444
445,Movil,445,445
446,Movil,446,446
447,Barrial,447,447
448,Barrial,448,448
449,Barrial,449,449
450,Barrial,450,450
451,Barrial,451,451
452,Barrial,452,452
453,Barrial,453,453
454,Barrial,454,454
455,Barrial,455,455
456,Movil,456,456
457,Movil,457,457
458,Barrial,458,458
459,Barrial,459,459
460,Barrial,460,460
461,Barrial,461,461
462,Barrial,462,462
463,Barrial,463,463
464,Barrial,464,464
465,Barrial,465,465
466,Barrial,466,466
467,Barrial,467,467
468,Barrial,468,468
469,Barrial,469,469
470,Barrial,470,470
471,Barrial,471,471
472,Barrial,472,472
473,Barrial,473,473
474,Movil,474,474
475,Barrial,475,475
476,Movil,476,476
477,Barrial,477,477
478,Barrial,478,478
479,Barrial,479,479
480,Barrial,480,480
481,Barrial,481,481
482,Barrial,482,482
483,Barrial,483,483
484,Movil,484,484
485,Barrial,485,485
486,Barrial,486,486
487,Barrial,487,487
488,Barrial,488,488
489,Barrial,489,489
490,Barrial,490,490
491,Barrial,491,491
492,Barrial,492,492
493,Barrial,493,493
494,Barrial,494,494
495,Barrial,495,495
496,Movil,496,496
497,Barrial,497,497
498,Barrial,498,498
499,Barrial,499,499
500,Barrial,500,500
501,Barrial,501,501
502,Movil,502,502
503,Movil,503,503
504,Barrial,504,504
505,Barrial,505,505
506,Movil,506,506
507,Movil,507,507
508,Movil,508,508
509,Barrial,509,509
510,Movil,510,510
511,Movil,511,511
512,Barrial,512,512
513,Barrial,513,513
514,Barrial,514,514
515,Movil,515,515
516,Barrial,516,516
517,Barrial,517,517
518,Barrial,518,518
519,Barrial,519,519
520,Movil,520,520
521,Barrial,521,521
522,Barrial,522,522
523,Movil,523,523
524,Barrial,524,524
525,Barrial,525,525
526,Barrial,526,526
527,Barrial,527,527
528,Barrial,528,528
529,Barrial,529,529
530,Barrial,530,530
531,Barrial,531,531
532,Barrial,532,532
533,Barrial,533,533
534,Movil,534,534
535,Barrial,535,535
536,Movil,536,536
537,Barrial,537,537
538,Barrial,538,538
539,Barrial,539,539
540,Barrial,540,540
541,Barrial,541,541
542,Barrial,542,542
543,Barrial,543,543
544,Barrial,544,544
545,Barrial,545,545
546,Barrial,546,546
547,Barrial,547,547
548,Barrial,548,548
549,Barrial,549,549
550,Barrial,550,550
551,Barrial,551,551
552,Barrial,552,552
553,Barrial,553,553
554,Movil,554,554
555,Barrial,555,555
556,Barrial,556,556
557,Barrial,557,557
558,Barrial,558,558
559,Movil,559,559
560,Barrial,560,560
561,Barrial,561,561
562,Barrial,562,562
563,Barrial,563,563
564,Barrial,564,564
565,Barrial,565,565
566,Barrial,566,566
567,Barrial,567,567
568,Barrial,568,568
569,Barrial,569,569
570,Barrial,570,570
571,Movil,571,571
572,Barrial,572,572
573,Movil,573,573
574,Movil,574,574
575,Barrial,575,575
576,Barrial,576,576
577,Barrial,577,577
578,Barrial,578,578
579,Barrial,579,579
580,Barrial,580,580
581,Movil,581,581
582,Movil,582,582
583,Barrial,583,583
584,Barrial,584,584
585,Barrial,585,585
586,Barrial,586,586
587,Barrial,587,587
588,Barrial,588,588
589,Barrial,589,589
590,Barrial,590,590
591,Barrial,591,591
592,Barrial,592,592
593,Barrial,593,593
594,Barrial,594,594
595,Barrial,595,595
596,Barrial,596,596
597,Barrial,597,597
598,Barrial,598,598
599,Barrial,599,599
600,Barrial,600,600
601,Barrial,601,601
602,Barrial,602,602
603,Barrial,603,603
604,Barrial,604,604
605,Barrial,605,605
606,Barrial,606,606
607,Movil,607,607
608,Barrial,608,608
609,Barrial,609,609
610,Barrial,610,610
611,Barrial,611,611
612,Barrial,612,612
613,Barrial,613,613
614,Barrial,614,614
615,Movil,615,615
616,Barrial,616,616
617,Barrial,617,617
618,Barrial,618,618
619,Barrial,619,619
620,Barrial,620,620
621,Barrial,621,621
622,Barrial,622,622
623,Movil,623,623
624,Barrial,624,624
625,Barrial,625,625
626,Barrial,626,626
627,Movil,627,627
628,Barrial,628,628
629,Barrial,629,629
630,Barrial,630,630
631,Movil,631,631
632,Barrial,632,632
633,Barrial,633,633
634,Barrial,634,634
635,Barrial,635,635
636,Barrial,636,636
637,Barrial,637,637
638,Barrial,638,638
639,Movil,639,639
640,Barrial,640,640
641,Barrial,641,641
642,Barrial,642,642
643,Movil,643,643
644,Barrial,644,644
645,Barrial,645,645
646,Barrial,646,646
647,Barrial,647,647
648,Movil,648,648
649,Barrial,649,649
650,Barrial,650,650
651,Barrial,651,651
652,Barrial,652,652
653,Barrial,653,653
654,Barrial,654,654
655,Movil,655,655
656,Barrial,656,656
657,Barrial,657,657
658,Barrial,658,658
659,Barrial,659,659
660,Barrial,660,660
661,Movil,661,661
662,Movil,662,662
663,Barrial,663,663
664,Barrial,664,664
665,Movil,665,665
666,Barrial,666,666
667,Barrial,667,667
668,Barrial,668,668
669,Barrial,669,669
670,Barrial,670,670
671,Barrial,671,671
672,Barrial,672,672
673,Barrial,673,673
674,Barrial,674,674
675,Barrial,675,675
676,Barrial,676,676
677,Barrial,677,677
678,Movil,678,678
679,Barrial,679,679
680,Barrial,680,680
681,Barrial,681,681
682,Barrial,682,682
683,Barrial,683,683
684,Barrial,684,684
685,Barrial,685,685
686,Barrial,686,686
687,Barrial,687,687
688,Movil,688,688
689,Barrial,689,689
690,Barrial,690,690
691,Movil,691,691
692,Barrial,692,692
693,Barrial,693,693
694,Barrial,694,694
695,Movil,695,695
696,Barrial,696,696
697,Barrial,697,697
698,Barrial,698,698
699,Barrial,699,699
700,Barrial,700,700
701,Movil,701,701
702,Barrial,702,702
703,Barrial,703,703
704,Barrial,704,704
705,Barrial,705,705
706,Barrial,706,706
707,Barrial,707,707
708,Barrial,708,708
709,Barrial,709,709
710,Barrial,710,710
711,Barrial,711,711
712,Movil,712,712
713,Barrial,713,713
714,Barrial,714,714
715,Barrial,715,715
716,Movil,716,716
717,Movil,717,717
718,Barrial,718,718
719,Barrial,719,719
720,Barrial,720,720
721,Barrial,721,721
722,Barrial,722,722
723,Barrial,723,723
724,Barrial,724,724
725,Barrial,725,725
726,Barrial,726,726
727,Barrial,727,727
728,Movil,728,728
729,Barrial,729,729
730,Barrial,730,730
731,Barrial,731,731
732,Barrial,732,732
733,Barrial,733,733
734,Barrial,734,734
735,Barrial,735,735
736,Barrial,736,736
737,Barrial,737,737
738,Barrial,738,738
739,Barrial,739,739
740,Barrial,740,740
741,Barrial,741,741
742,Barrial,742,742
743,Barrial,743,743
744,Barrial,744,744
745,Barrial,745,745
746,Barrial,746,746
747,Barrial,747,747
748,Barrial,748,748
749,Barrial,749,749
750,Barrial,750,750
751,Barrial,751,751
752,Barrial,752,752
753,Movil,753,753
754,Barrial,754,754
755,Barrial,755,755
756,Barrial,756,756
757,Barrial,757,757
758,Movil,758,758
759,Barrial,759,759
760,Movil,760,760
761,Barrial,761,761
762,Barrial,762,762
763,Movil,763,763
764,Barrial,764,764
765,Barrial,765,765
766,Barrial,766,766
767,Movil,767,767
768,Movil,768,768
769,Barrial,769,769
770,Barrial,770,770
771,Barrial,771,771
772,Barrial,772,772
773,Barrial,773,773
774,Barrial,774,774
775,Barrial,775,775
776,Barrial,776,776
777,Movil,777,777
778,Movil,778,778
779,Movil,779,779
780,Barrial,780,780
781,Barrial,781,781
782,Barrial,782,782
783,Barrial,783,783
784,Barrial,784,784
785,Barrial,785,785
786,Barrial,786,786
787,Barrial,787,787
788,Barrial,788,788
789,Movil,789,789
790,Barrial,790,790
791,Barrial,791,791
792,Barrial,792,792
793,Movil,793,793
794,Barrial,794,794
795,Barrial,795,795
796,Barrial,796,796
797,Barrial,797,797
798,Barrial,798,798
799,Movil,799,799
800,Barrial,800,800
801,Barrial,801,801
802,Barrial,802,802
803,Barrial,803,803
804,Movil,804,804
805,Barrial,805,805
806,Barrial,806,806
807,Barrial,807,807
808,Barrial,808,808
809,Barrial,809,809
810,Barrial,810,810
811,Barrial,811,811
812,Barrial,812,812
813,Movil,813,813
814,Barrial,814,814
815,Barrial,815,815
816,Movil,816,816
817,Barrial,817,817
818,Barrial,818,818
819,Barrial,819,819
820,Barrial,820,820
821,Movil,821,821
822,Barrial,822,822
823,Barrial,823,823
824,Barrial,824,824
825,Movil,825,825
826,Barrial,826,826
827,Barrial,827,827
828,Barrial,828,828
829,Barrial,829,829
830,Movil,830,830
831,Barrial,831,831
832,Barrial,832,832
833,Movil,833,833
834,Barrial,834,834
835,Barrial,835,835
836,Barrial,836,836
837,Barrial,837,837
838,Movil,838,838
839,Movil,839,839
840,Barrial,840,840
841,Barrial,841,841
842,Barrial,842,842
843,Barrial,843,843
844,Barrial,844,844
845,Barrial,845,845
846,Barrial,846,846
847,Barrial,847,847
848,Barrial,848,848
849,Barrial,849,849
850,Barrial,850,850
851,Barrial,851,851
852,Barrial,852,852
853,Barrial,853,853
854,Barrial,854,854
855,Barrial,855,855
856,Barrial,856,856
857,Barrial,857,857
858,Barrial,858,858
859,Barrial,859,859
860,Barrial,860,860
861,Barrial,861,861
862,Barrial,862,862
863,Barrial,863,863
864,Barrial,864,864
865,Barrial,865,865
866,Movil,866,866
867,Barrial,867,867
868,Barrial,868,868
869,Barrial,869,869
870,Barrial,870,870
871,Barrial,871,871
872,Barrial,872,872
873,Barrial,873,873
874,Barrial,874,874
875,Barrial,875,875
876,Barrial,876,876
877,Movil,877,877
878,Barrial,878,878
879,Barrial,879,879
880,Barrial,880,880
881,Movil,881,881
882,Barrial,882,882
883,Barrial,883,883
884,Barrial,884,884
885,Movil,885,885
886,Barrial,886,886
887,Barrial,887,887
888,Barrial,888,888
889,Barrial,889,889
890,Barrial,890,890
891,Barrial,891,891
892,Barrial,892,892
893,Barrial,893,893
894,Barrial,894,894
895,Barrial,895,895
896,Barrial,896,896
897,Barrial,897,897
898,Barrial,898,898
899,Barrial,899,899
900,Movil,900,900
901,Barrial,901,901
902,Barrial,902,902
903,Barrial,903,903
904,Barrial,904,904
905,Barrial,905,905
906,Movil,906,906
907,Barrial,907,907
908,Barrial,908,908
909,Movil,909,909
910,Barrial,910,910
911,Movil,911,911
912,Barrial,912,912
913,Barrial,913,913
914,Barrial,914,914
915,Movil,915,915
916,Barrial,916,916
917,Barrial,917,917
918,Barrial,918,918
919,Barrial,919,919
920,Barrial,920,920
921,Barrial,921,921
922,Barrial,922,922
923,Barrial,923,923
924,Barrial,924,924
925,Barrial,925,925
926,Barrial,926,926
927,Barrial,927,927
928,Barrial,928,928
929,Barrial,929,929
930,Barrial,930,930
931,Movil,931,931
932,Barrial,932,932
933,Barrial,933,933
934,Barrial,934,934
935,Barrial,935,935
936,Barrial,936,936
937,Barrial,937,937
938,Barrial,938,938
939,Barrial,939,939
940,Barrial,940,940
941,Barrial,941,941
942,Barrial,942,942
943,Barrial,943,943
944,Barrial,944,944
945,Barrial,945,945
946,Barrial,946,946
947,Barrial,947,947
948,Barrial,948,948
949,Barrial,949,949
950,Barrial,950,950
951,Movil,951,951
952,Movil,952,952
953,Barrial,953,953
954,Barrial,954,954
955,Barrial,955,955
956,Barrial,956,956
957,Barrial,957,957
958,Barrial,958,958
959,Barrial,959,959
960,Barrial,960,960
961,Barrial,961,961
962,Movil,962,962
963,Barrial,963,963
964,Movil,964,964
965,Barrial,965,965
966,Barrial,966,966
967,Barrial,967,967
968,Barrial,968,968
969,Barrial,969,969
970,Barrial,970,970
971,Barrial,971,971
972,Movil,972,972
973,Barrial,973,973
974,Barrial,974,974
975,Barrial,975,975
976,Barrial,976,976
977,Movil,977,977
978,Barrial,978,978
979,Barrial,979,979
980,Barrial,980,980
981,Barrial,981,981
982,Barrial,982,982
983,Barrial,983,983
984,Barrial,984,984
985,Barrial,985,985
986,Movil,986,986
987,Barrial,987,987
988,Barrial,988,988
989,Barrial,989,989
990,Barrial,990,990
991,Barrial,991,991
992,Barrial,992,992
993,Barrial,993,993
994,Barrial,994,994
995,Movil,995,995
996,Barrial,996,996
997,Barrial,997,997
998,Barrial,998,998
999,Barrial,999,999
1000,Barrial,1000,1000
1001,Barrial,1001,1001
1002,Barrial,1002,1002
1003,Barrial,1003,1003
1004,Barrial,1004,1004
1005,Barrial,1005,1005
1006,Barrial,1006,1006
1007,Barrial,1007,1007
1008,Barrial,1008,1008
1009,Barrial,1009,1009
1010,Barrial,1010,1010
1011,Barrial,1011,1011
1012,Barrial,1012,1012
1013,Barrial,1013,1013
1014,Barrial,1014,1014
1015,Barrial,1015,1015
1016,Barrial,1016,1016
1017,Barrial,1017,1017
1018,Barrial,1018,1018
1019,Movil,1019,1019
1020,Barrial,1020,1020
1021,Barrial,1021,1021
1022,Barrial,1022,1022
1023,Barrial,1023,1023
1024,Movil,1024,1024
1025,Barrial,1025,1025
1026,Barrial,1026,1026
1027,Barrial,1027,1027
1028,Barrial,1028,1028
1029,Barrial,1029,1029
1030,Barrial,1030,1030
1031,Barrial,1031,1031
1032,Barrial,1032,1032
1033,Barrial,1033,1033
1034,Barrial,1034,1034
1035,Barrial,1035,1035
1036,Barrial,1036,1036
1037,Movil,1037,1037
1038,Barrial,1038,1038
1039,Barrial,1039,1039
1040,Barrial,1040,1040
1041,Barrial,1041,1041
1042,Barrial,1042,1042
1043,Barrial,1043,1043
1044,Barrial,1044,1044
1045,Barrial,1045,1045
1046,Movil,1046,1046
1047,Movil,1047,1047
1048,Barrial,1048,1048
1049,Barrial,1049,1049
1050,Barrial,1050,1050
1051,Barrial,1051,1051
1052,Movil,1052,1052
1053,Barrial,1053,1053
1054,Movil,1054,1054
1055,Barrial,1055,1055
1056,Barrial,1056,1056
1057,Barrial,1057,1057
1058,Barrial,1058,1058
1059,Barrial,1059,1059
1060,Barrial,1060,1060
1061,Barrial,1061,1061
1062,Barrial,1062,1062
1063,Barrial,1063,1063
1064,Barrial,1064,1064
1065,Barrial,1065,1065
1066,Barrial,1066,1066
1067,Barrial,1067,1067
1068,Barrial,1068,1068
1069,Barrial,1069,1069
1070,Barrial,1070,1070
1071,Barrial,1071,1071
1072,Barrial,1072,1072
1073,Barrial,1073,1073
1074,Barrial,1074,1074
1075,Barrial,1075,1075
1076,Barrial,1076,1076
1077,Barrial,1077,1077
1078,Barrial,1078,1078
1079,Movil,1079,1079
1080,Barrial,1080,1080
1081,Barrial,1081,1081
1082,Barrial,1082,1082
1083,Barrial,1083,1083
1084,Barrial,1084,1084
1085,Barrial,1085,1085
1086,Movil,1086,1086
1087,Barrial,1087,1087
1088,Barrial,1088,1088
1089,Barrial,1089,1089
1090,Barrial,1090,1090
1091,Barrial,1091,1091
1092,Barrial,1092,1092
1093,Barrial,1093,1093
1094,Barrial,1094,1094
1095,Barrial,1095,1095
1096,Barrial,1096,1096
1097,Movil,1097,1097
1098,Barrial,1098,1098
1099,Barrial,1099,1099
1100,Barrial,1100,1100
1101,Barrial,1101,1101
1102,Barrial,1102,1102
1103,Barrial,1103,1103
1104,Movil,1104,1104
1105,Barrial,1105,1105
1106,Barrial,1106,1106
1107,Barrial,1107,1107
1108,Barrial,1108,1108
1109,Barrial,1109,1109
1110,Barrial,1110,1110
1111,Barrial,1111,1111
1112,Barrial,1112,1112
1113,Barrial,1113,1113
1114,Barrial,1114,1114
1115,Barrial,1115,1115
1116,Barrial,1116,1116
1117,Barrial,1117,1117
1118,Barrial,1118,1118
1119,Barrial,1119,1119
1120,Barrial,1120,1120
1121,Movil,1121,1121
1122,Barrial,1122,1122
1123,Movil,1123,1123
1124,Barrial,1124,1124
1125,Barrial,1125,1125
1126,Movil,1126,1126
1127,Barrial,1127,1127
1128,Barrial,1128,1128
1129,Barrial,1129,1129
1130,Barrial,1130,1130
1131,Barrial,1131,1131
1132,Barrial,1132,1132
1133,Barrial,1133,1133
1134,Movil,1134,1134
1135,Barrial,1135,1135
1136,Barrial,1136,1136
1137,Barrial,1137,1137
1138,Barrial,1138,1138
1139,Barrial,1139,1139
1140,Barrial,1140,1140
1141,Barrial,1141,1141
1142,Movil,1142,1142
1143,Barrial,1143,1143
1144,Barrial,1144,1144
1145,Barrial,1145,1145
1146,Barrial,1146,1146
1147,Barrial,1147,1147
1148,Barrial,1148,1148
1149,Barrial,1149,1149
1150,Barrial,1150,1150
1151,Barrial,1151,1151
1152,Barrial,1152,1152
1153,Barrial,1153,1153
1154,Movil,1154,1154
1155,Barrial,1155,1155
1156,Barrial,1156,1156
1157,Barrial,1157,1157
1158,Barrial,1158,1158
1159,Barrial,1159,1159
1160,Movil,1160,1160
1161,Movil,1161,1161
1162,Movil,1162,1162
1163,Movil,1163,1163
1164,Barrial,1164,1164
1165,Barrial,1165,1165
1166,Barrial,1166,1166
1167,Barrial,1167,1167
1168,Movil,1168,1168
1169,Barrial,1169,1169
1170,Barrial,1170,1170
1171,Barrial,1171,1171
1172,Barrial,1172,1172
1173,Barrial,1173,1173
1174,Barrial,1174,1174
1175,Barrial,1175,1175
1176,Barrial,1176,1176
1177,Barrial,1177,1177
1178,Movil,1178,1178
1179,Barrial,1179,1179
1180,Barrial,1180,1180
1181,Barrial,1181,1181
1182,Barrial,1182,1182
1183,Barrial,1183,1183
1184,Barrial,1184,1184
1185,Barrial,1185,1185
1186,Movil,1186,1186
1187,Barrial,1187,1187
1188,Barrial,1188,1188
1189,Barrial,1189,1189
1190,Barrial,1190,1190
1191,Movil,1191,1191
1192,Barrial,1192,1192
1193,Barrial,1193,1193
1194,Barrial,1194,1194
1195,Barrial,1195,1195
1196,Barrial,1196,1196
1197,Barrial,1197,1197
1198,Barrial,1198,1198
1199,Barrial,1199,1199
1200,Barrial,1200,1200
1201,Barrial,1201,1201
1202,Barrial,1202,1202
1203,Barrial,1203,1203
1204,Barrial,1204,1204
1205,Barrial,1205,1205
1206,Barrial,1206,1206
1207,Barrial,1207,1207
1208,Barrial,1208,1208
1209,Movil,1209,1209
1210,Barrial,1210,1210
1211,Barrial,1211,1211
1212,Barrial,1212,1212
1213,Barrial,1213,1213
1214,Barrial,1214,1214
1215,Barrial,1215,1215
1216,Barrial,1216,1216
1217,Barrial,1217,1217
1218,Barrial,1218,1218
1219,Barrial,1219,1219
1220,Barrial,1220,1220
1221,Barrial,1221,1221
1222,Barrial,1222,1222
